資金繰り表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,メモ
単位：千円,,,前月, 04/ 01 (火) , 04/ 02 (水) , 04/ 03 (木) , 04/ 04 (金) , 04/ 05 (土) , 04/ 06 (日) , 04/ 07 (月) , 04/ 08 (火) , 04/ 09 (水) , 04/ 10 (木) , 04/ 11 (金) , 04/ 12 (土) , 04/ 13 (日) , 04/ 14 (月) , 04/ 15 (火) , 04/ 16 (水) , 04/ 17 (木) , 04/ 18 (金) , 04/ 19 (土) , 04/ 20 (日) , 04/ 21 (月) , 04/ 22 (火) , 04/ 23 (水) , 04/ 24 (木) , 04/ 25 (金) , 04/ 26 (土) , 04/ 27 (日) , 04/ 28 (月) , 04/ 29 (火) , 04/ 30 (水) ,,合計,月平均,,1月～前月平均
売上計画,,,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,,
前月繰越金（自己資金）　　　　  (A),,,"¥5,057,569","¥5,057,569","¥1,570,452","¥1,570,452","¥1,564,403","¥961,659","¥961,659","¥961,659","¥961,659","¥961,659","¥961,659","¥954,284","¥954,284","¥954,284","¥854,124","¥854,124","¥854,124","¥856,061","¥801,492","¥800,767","¥800,767","¥800,767","¥802,918","¥791,918","¥791,918","¥791,918","¥911,518","¥1,186,518","¥1,186,518","¥830,881","¥830,881",,,,,
営業収支,収入,　現金売上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,,
,,　売掛金回収,,"¥40,000",,,,,,,,,,,,,,,"¥26,937",,,,,,,,,"¥119,600","¥275,000",,"¥136,400",,"¥17,905,160",,"¥18,503,097","¥3,083,850",,"¥5,417,888"
,,　前受金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-,,
,,　その他,,¥72,,,,,,,,,,,,,,,,,,,,"¥2,151",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (B),,,"¥40,072",¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥26,937",¥0,¥0,¥0,¥0,"¥2,151",¥0,¥0,¥0,"¥119,600","¥275,000",¥0,"¥136,400",¥0,"¥17,905,160",,"¥18,505,320","¥616,844",,
,支出,家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,¥0,,
,,デビットカード,,"¥13,640",,,,,,,,,"¥7,375",,,,,,"¥25,000","¥54,569",,,,,,,,,,,,,,,"¥100,584","¥25,146",,"¥77,109"
,,広告費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,人件費（ハルカゼ）,,"¥2,542,366",,,"¥233,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,"¥2,775,965","¥1,387,983",,"¥1,857,798"
,,人件費（その他）,,"¥941,038",,,"¥369,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,"¥1,310,183","¥655,092",,"¥995,414"
,,諸経費,,"¥30,145",,"¥6,049",,,,,,,,,,"¥100,160",,,,,¥725,,,,"¥11,000",,,,,,"¥492,037",,"¥336,297",,"¥976,413","¥139,488",,"¥870,236"
,,税金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (C),,,"¥3,527,189",¥0,"¥6,049","¥602,744",¥0,¥0,¥0,¥0,¥0,"¥7,375",¥0,¥0,"¥100,160",¥0,¥0,"¥25,000","¥54,569",¥725,¥0,¥0,¥0,"¥11,000",¥0,¥0,¥0,¥0,¥0,"¥492,037",¥0,"¥336,297",¥0,"¥5,163,145","¥172,105",,
,,差引過不足  (B)-(C)=(D),¥0,"-¥3,487,117",¥0,"-¥6,049","-¥602,744",¥0,¥0,¥0,¥0,¥0,"-¥7,375",¥0,¥0,"-¥100,160",¥0,¥0,"¥1,937","-¥54,569",-¥725,¥0,¥0,"¥2,151","-¥11,000",¥0,¥0,"¥119,600","¥275,000",¥0,"-¥355,637",¥0,"¥17,568,863",¥0,"¥13,342,175","¥430,393",,
投資収支,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,計　　　    　 (E),¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,
財務収支,収入,借入金（銀行）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,借入金(銀行以外),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
