,,,,,,,,,
,使い方,,,,,,,,
,セル L8 に開始残高を設定してから、下の [収入] と [支出] の表にカテゴリと出費金額を入力します。,,,,,,,,
,,,,,,,数式が含まれているセルは変更しないようにしてください。,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,月間収支（6月）,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,今月の粗利益,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"¥3,874,185",
,,,総支出,総収入,,,,,
,,,"¥16,978,270","¥20,852,455",,,,,
,,,,,,,,,
,,,,,,,,折半分(6:4),"¥2,324,511"
,,,,,,,,,
,支出,,,,,収入,,,
,,,,,,,,,
,合計,,"¥16,978,270",,,合計,,"¥20,852,455",
,,,,,,,,,
,営業報酬,,"¥795,000",,,一括,,"¥8,738,000",
,広告費,,"¥6,990,226",,,CBS,,"¥10,374,000",
,決済手数料,,"¥751,950",,,京都信販,,¥0,
,Lステップ,,"¥98,340",,,分割支払分,,"¥1,189,155",
,営業管理報酬(6月分),,"¥359,160",,,合宿,,"¥551,300",
,返金対応分,,"¥7,983,594",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,先月分,,,,,,,,
,5月収支,,,,,,,,
