,,,,,,,,,
,使い方,,,,,,,,
,セル L8 に開始残高を設定してから、下の [収入] と [支出] の表にカテゴリと出費金額を入力します。,,,,,,,,
,,,,,,,数式が含まれているセルは変更しないようにしてください。,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,月間収支,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,今月の粗利益,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"¥14,469,474",
,,,総支出,総収入,,,,,
,,,"¥10,317,281","¥24,786,755",,,,,
,,,,,,,,,
,,,,,,,,折半分,"¥7,234,737"
,,,,,,,,,
,支出,,,,,収入,,,
,,,,,,,,,
,合計,,"¥10,317,281",,,合計,,"¥24,786,755",
,,,,,,,,,
,営業報酬,,"¥895,000",,,一括,,"¥10,344,000",
,広告費,,"¥4,996,778",,,CBS,,"¥12,768,000",
,決済手数料,,"¥779,460",,,京都信販,,¥0,
,Lステップ,,"¥32,780",,,分割支払分,,"¥1,290,335",
,営業管理報酬(4月分),,"¥250,000",,,合宿,,"¥384,420",
,吉澤幸一営業報酬,,"¥350,000",,,,,,
,返金対応分,,"¥3,013,263",,,,,,
