,,,,,,,,
,使い方,,,,,,,
,セル L8 に開始残高を設定してから、下の [収入] と [支出] の表にカテゴリと出費金額を入力します。,,,,,,,
,,,,,,,数式が含まれているセルは変更しないようにしてください。,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,月間収支,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,今月の粗利益
,,,,,,,,
,,,,,,,,
,,,,,,,,"¥8,286,498"
,,,総支出,総収入,,,,
,,,"¥4,773,026","¥13,059,524",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,支出,,,,,収入,,
,,,,,,,,
,合計,,"¥4,773,026",,,合計,,"¥13,059,524"
,,,,,,,,
,営業報酬,,"¥470,000",,,一括,,"¥4,748,000"
,広告費,,"¥3,995,660",,,CBS,,"¥6,384,000"
,決済手数料,,"¥274,586",,,京都信販,,"¥124,944"
,Lステップ,,"¥32,780",,,分割支払分,,"¥1,323,120"
,,,,,,ＭＯＳＨ,,"¥250,000"
,,,,,,合宿,,"¥229,460"
